frame_idx,time_s,elbow_angle,spine_lean,head_knee_dx,foot_angle,left_wrist_speed_px_per_s,right_wrist_speed_px_per_s,conf_elbow,conf_spine,conf_head_dx,conf_foot
65,2.1667,59.58,6.48,-0.0944,54.46,30.0,67.08,0.847,0.999,0.951,0.916
66,2.2,53.63,5.19,-0.0833,57.53,161.55,161.55,0.847,0.999,0.951,0.916
67,2.2333,51.07,5.31,-0.0917,15.26,42.43,234.31,0.85,0.999,0.952,0.919
68,2.2667,49.76,8.13,-0.1,7.77,30.0,212.13,0.85,0.999,0.949,0.921
69,2.3,51.46,9.46,-0.1028,4.76,182.48,67.08,0.858,0.999,0.948,0.923
70,2.3333,51.81,13.39,-0.1111,8.13,247.39,300.0,0.866,0.999,0.951,0.924
71,2.3667,59.36,18.43,-0.1222,8.67,342.05,108.17,0.878,0.999,0.954,0.93
72,2.4,109.8,26.08,-0.1222,60.03,424.26,429.53,0.862,0.999,0.957,0.936
73,2.4333,112.38,28.44,-0.1278,59.25,417.85,201.25,0.86,0.999,0.961,0.94
74,2.4667,66.87,29.48,-0.1194,59.04,108.17,90.0,0.866,0.999,0.964,0.945
75,2.5,59.62,29.36,-0.1194,59.66,90.0,120.0,0.875,1.0,0.966,0.947
76,2.5333,61.64,27.95,-0.1167,64.23,174.93,30.0,0.886,1.0,0.966,0.946
77,2.5667,57.84,28.86,-0.125,40.24,123.69,218.4,0.893,1.0,0.968,0.948
78,2.6,138.81,26.57,-0.0944,79.0,284.6,313.21,0.894,1.0,0.971,0.952
79,2.6333,110.09,27.05,-0.0944,76.33,283.02,247.39,0.888,1.0,0.972,0.954
80,2.6667,130.6,26.57,-0.0917,63.43,241.87,218.4,0.892,1.0,0.973,0.952
81,2.7,122.84,26.08,-0.1139,59.04,94.87,127.28,0.88,1.0,0.974,0.953
82,2.7333,133.45,25.14,-0.1083,56.5,84.85,30.0,0.887,1.0,0.975,0.95
83,2.7667,127.43,23.86,-0.0917,59.04,60.0,67.08,0.891,1.0,0.976,0.953
84,2.8,120.34,24.18,-0.1028,34.38,84.85,84.85,0.889,1.0,0.978,0.952
85,2.8333,123.21,21.61,-0.0861,71.57,30.0,84.85,0.889,1.0,0.979,0.956
86,2.8667,128.39,22.54,-0.0972,65.56,67.08,42.43,0.883,1.0,0.98,0.957
87,2.9,113.2,22.17,-0.0972,26.57,60.0,60.0,0.881,0.999,0.981,0.956
88,2.9333,102.19,21.8,-0.1111,23.5,0.0,0.0,0.88,0.999,0.981,0.955
89,2.9667,98.9,19.98,-0.1167,2.66,42.43,42.43,0.884,0.999,0.982,0.95
90,3.0,93.93,20.32,-0.1139,27.51,0.0,0.0,0.883,0.999,0.983,0.947
91,3.0333,69.78,20.32,-0.1139,23.5,90.0,0.0,0.884,0.999,0.983,0.942
92,3.0667,68.5,20.32,-0.1139,28.41,30.0,30.0,0.886,0.999,0.984,0.94
93,3.1,123.61,19.72,-0.1083,49.97,67.08,30.0,0.89,0.999,0.985,0.939
94,3.1333,124.26,19.72,-0.1056,10.75,120.0,30.0,0.896,0.999,0.986,0.941
